ligand,affinity
ZINC000014210642,-6.2
ZINC000014961096,-6.2
ZINC000019632614,-6.2
ZINC000019632628,-6.2
ZINC000022448983,-6.2
ZINC000038197764,-6.2
ZINC000095616600,-6.2
ZINC000100296832,-6.2
ZINC000253476025,-6.2
ZINC000306122005,-6.2
ZINC000000000751,-6.1
ZINC000000000931,-6.1
ZINC000000001016,-6.1
ZINC000000004028,-6.1
ZINC000000008667,-6.1
ZINC000000009342,-6.1
ZINC000000018087,-6.1
ZINC000000020241,-6.1
ZINC000000089763,-6.1
ZINC000000121480,-6.1
ZINC000000538564,-6.1
ZINC000000601305,-6.1
ZINC000000643114,-6.1
ZINC000000896634,-6.1
ZINC000000896755,-6.1
ZINC000000968263,-6.1
ZINC000000968327,-6.1
ZINC000000968330,-6.1
ZINC000001530775,-6.1
ZINC000001530812,-6.1
ZINC000001530947,-6.1
ZINC000001530974,-6.1
ZINC000001536779,-6.1
ZINC000001842633,-6.1
ZINC000002005305,-6.1
ZINC000002008866,-6.1
ZINC000002570817,-6.1
ZINC000002599970,-6.1
ZINC000003776970,-6.1
ZINC000003798537,-6.1
ZINC000003800706,-6.1
ZINC000003802690,-6.1
ZINC000003813003,-6.1
ZINC000003819392,-6.1
ZINC000003826253,-6.1
ZINC000003830218,-6.1
ZINC000003872994,-6.1
ZINC000003875392,-6.1
ZINC000003875393,-6.1
ZINC000003941496,-6.1
ZINC000004693575,-6.1
ZINC000008214619,-6.1
ZINC000011677857,-6.1
ZINC000014768621,-6.1
ZINC000019203912,-6.1
ZINC000019632917,-6.1
ZINC000027428713,-6.1
ZINC000028973441,-6.1
ZINC000043207851,-6.1
ZINC000052957434,-6.1
ZINC000084758235,-6.1
ZINC000085432544,-6.1
ZINC000085537053,-6.1
ZINC000100004343,-6.1
ZINC000100015780,-6.1
ZINC000100074252,-6.1
ZINC000000000596,-6
ZINC000000000740,-6
ZINC000000000973,-6
ZINC000000001370,-6
ZINC000000001464,-6
ZINC000000001984,-6
ZINC000000006427,-6
ZINC000000011012,-6
ZINC000000015515,-6
ZINC000000020221,-6
ZINC000000020251,-6
ZINC000000057534,-6
ZINC000000113428,-6
ZINC000000136138,-6
ZINC000000509440,-6
ZINC000000607790,-6
ZINC000000643055,-6
ZINC000001530580,-6
ZINC000001530601,-6
ZINC000001530637,-6
ZINC000001530695,-6
ZINC000001530697,-6
ZINC000001530764,-6
